state_name,Labor_Intensity_Index
ALABAMA,-0.06845715533262245
ALASKA,5.851842775729592
ARIZONA,1.0434373243856425
ARKANSAS,-0.7892123084911924
CALIFORNIA,2.7545537991698996
COLORADO,-0.4142046508951075
CONNECTICUT,0.49090516488528974
DELAWARE,-0.3289957094055166
FLORIDA,-0.34041718579714686
GEORGIA,-0.1193121979446882
HAWAII,3.773105678585162
IDAHO,-0.6852262368302002
ILLINOIS,-1.4249686965674424
INDIANA,-0.9028240601447257
IOWA,-1.0198061337962985
KANSAS,-1.035925100271021
KENTUCKY,-0.14944764103942892
LOUISIANA,-0.5837619314278472
MAINE,-0.02128424547329045
MARYLAND,-0.17037597676400615
MASSACHUSETTS,1.3459583350047843
MICHIGAN,-0.16825278472235702
MINNESOTA,-0.7244100523086394
MISSISSIPPI,-0.36779544480105125
MISSOURI,-0.5446775324749643
MONTANA,-1.015722230523079
NEBRASKA,-1.038877939107529
NEVADA,-0.1560812827635244
NEW HAMPSHIRE,0.622549640904723
NEW JERSEY,0.2532146032256325
NEW MEXICO,-0.2258957686361881
NEW YORK,0.14617771130606708
NORTH CAROLINA,-0.1563965323118239
NORTH DAKOTA,-1.9194808119825075
OHIO,-0.4123188614102912
OKLAHOMA,-0.6038670385038507
OREGON,-0.45095130978421555
PENNSYLVANIA,0.08268664578416104
RHODE ISLAND,0.9677124310701366
SOUTH CAROLINA,-0.1301327121270951
SOUTH DAKOTA,-1.0296274705543105
TENNESSEE,-0.18112125377824143
TEXAS,-0.32613176948275785
UTAH,-0.06657626391548795
VERMONT,0.35736735984439694
VIRGINIA,0.026829999993084164
WASHINGTON,-0.3096030303282183
WEST VIRGINIA,0.3836734597511946
WISCONSIN,-0.09067701143073294
WYOMING,-0.12719859851236742
